ich i
linksliberale liberals
prüfungen exams
küstenebene plain
schleuder sling
schmerz pain
bögen bows
verschreibung prescription
broschüre brochure
pfefferspray spray
vorhänge curtains
urteile judgments
langsamkeit slowness
sohnes son's
eingereicht submitted
gurkenfass pickle
fesselnden riveting
lagern camps
gebrauchswaren commodities
anorganische inorganic
12-jähriger 12-year-old
empfängnis conception
videospiele video
donnerstag thursday
vorgetäuscht faked
erlösung salvation
zahlungen payments
geräuschkulisse soundscape
aufzüge elevators
vergaßen forgot
200-jahr-plan 200-year
kapiteln chapters
stammesgesellschaften tribal
ordner folder
unternehmen business
hirnrinde cerebral
ablenkungen distractions
handschrift handwriting
geheimdienste agencies
stammbaum bloodline
unterstützer supporters
pigmentierte pigmented
dunkel darkly
bakterien bacteria
homoehen same-sex
erlaufbaren walkable
extrazelluläre extracellular
buttermilch buttermilk
rechnen calculating
selbsttranszendenz self-transcendence
fixierung restraints
feuermuster firing
ökologe ecologist
beeinträchtigt compromised
infizieren infect
reiter rider
singularität singularity
anthropologe anthropologist
außergewöhnlich exceptional
absorbiert absorbs
zahl number's
wiederverwertet recycled
schwächen flaws
scheidung divorce
erdbeeren strawberries
meinungsverschiedenheit disagreement
gerüchte rumors
pfütze puddle
intrinsisch intrinsically
augenbraue eyebrow
handwerker craftsman
übernatürliche supernatural
pflichten duties
langeweile boredom
diszipliniert disciplined
bücher books
mystischen mystical
kosmologen cosmologists
technologisch technologically
eingetreten entered
höchste tallest
kohlenwasserstoffe hydrocarbons
nahrung nutrition
wiederherstellung restoration
zwiebeln onions
böden soils
ineffektiv ineffective
gebräu concoction
überdosis overdose
jahres year's
blüte bloom
wiesen meadows
rolltreppen escalators
versammeln gather
domestiziert domesticated
optimiert optimized
einverständnis consent
kühe cows
pinsel paintbrush
zusammengesetzt composed
barrierefreiheit accessibility
charakteristischen characteristic
schlachten battles
ungemein immensely
verkörpern embody
grausamkeit cruelty
ironisch ironic
lehrers teacher's
makuladegeneration macular
einmal occasion
geometrischen geometrical
zweifellos undoubtedly
hämoglobin hemoglobin
grammatik grammar
meistern master
beruflich professionally
keiner neither
überbevölkerung overpopulation
pharmazeutischen pharmaceutical
bürokratische bureaucratic
wachen guards
motivationen motivations
ermutigende encouraging
versöhnung reconciliation
unten bottom
pädagogen educators
erwerb acquisition
charismatische charismatic
verehren worship
wohnen assisted
allergisch allergic
verschrieben prescribed
muscheln shells
projektionen projections
spezialist specialist
geplanten scheduled
tauschen trading
klassifizieren classify
schwänze tails
taschengeld allowance
verschwenden wasting
unterwelt underworld
teilchenbeschleuniger accelerator
multiplizieren multiply
vertrauten trusted
chirurgisch surgically
bergbauunternehmen mining
ungeborenen unborn
nachdem having
uhrwerk clock
waschbecken sink
hof courtyard
eingestellt hired
anpassungsfähigkeit adaptability
überflutungen flooding
rascheln rustle
interagiert interacts
ausländer foreigners
mittelklasse middle-class
jahre years
segelte sailed
einwanderung immigration
ankunft arrival
serienmörder serial
vermischen mixing
einflüsse influences
warnt warns
fachzeitschriften journals
erschwinglichkeit affordability
zerstörend corrosive
wesentlichen essentially
taktik tactics
staatsbürgerschaft citizenship
speicher storage
gehörten belonged
verwaltung managing
modifizierte modified
funktionierende functioning
nominiert nominated
aushalten withstand
aufgedeckt revealed
bedeutungslosigkeit insignificance
wahrnehmungen perceptions
farbstoff dye
eingesperrt imprisoned
pflanzte planted
beleidigung insult
verkörpert embodies
lösbar soluble
synergien synergies
schulausbildung schooling
gründungsväter founding
dunkler darker
kriegern warriors
falle trap
akzeptabel acceptable
ausbilder sergeant
geologie geology
sitzungen sessions
poetische poetic
berechnet calculated
täuschen deceive
selbsttäuschung self-deception
kampfes struggle
beigetreten joined
geldwäsche laundering
strömungen currents
schlafe sleeping
brennt burns
technokratischen technocratic
prächtige glorious
zugegeben granted
ausgebeutet exploited
stauanlagen impoundments
taxifahrer cab
gehirnerschütterung concussion
blog-einträge posts
posttraumatischem post-traumatic
geschüttelt shook
schmerzen pains
amputiert amputated
neigung propensity
beschränkt confined
erkunden exploring
haarschnitt haircut
zweieinhalb two-and-a-half
abgesehen apart
beschleunigte accelerated
untersucht examines
selbsthilfebücher self-help
freundschaften friendships
umschlag envelope
geopolitischen geopolitical
bearbeitet edited
entdecker explorers
menschenhand man-made
verwirren confuse
schwarm swarm
synchronisiert synchronized
verhungern starve
norwegischen norwegian
luftfahrt aviation
raumfahrzeuge spacecraft
offenheit openness
aktionäre shareholders
provisorischen makeshift
zahnpasta toothpaste
harmlos harmless
kreuzworträtsel crossword
innewohnende inherent
riskierte risked
verstümmelt mutilated
decken blankets
fotostrecke photo
vierteln quarters
töpfe pots
äthiopischen ethiopian
umsetzen implement
zuschuss grant
ausbreitet spreading
anzuwenden applying
geschirr dishes
selbstachtung self-esteem
umstände circumstance
eifersüchtig jealous
umkehr reversal
bildgebende imaging
perfektioniert perfected
zahnärzte dentists
verführt seduced
gräser grasses
schädlinge pests
suchanfragen searches
generiert generated
weltverändernde world-changing
schnellen rapid
neunjährige nine-year-old
anagramme anagrams
überflutet flooded
hüpfen hop
verständlich understandable
telekommunikation telecommunications
betreiber operators
weitergeht continues
kompositionen compositions
zufällige accidental
modernismus modernism
vorübergehend temporarily
brüten breed
rückgängig undo
kreuzung intersection
verlinkt links
kasachstan kazakhstan
gegraben dug
notwendigkeit necessity
kanu canoe
motorisierten motorized
ungleichheiten inequalities
fragwürdig questionable
schwimmer swimmer
erstaunlicherweise amazingly
säule pillar
eisenbahn railway
aserbaidschan azerbaijan
albanien albania
aufstände insurgency
brutstätten breeding
ausbrüche outbreaks
leichtigkeit ease
erleiden suffer
geschieden divorced
weihnachtskarte card
karren cart
leiten conduct
lichtgesteuerte light-activated
flecken spots
klettverschluss velcro
tiefliegenden low-lying
aussicht prospect
elektromagnetismus electromagnetism
überschätzen overestimate
gefiltert filtered
heutzutage nowadays
abzulehnen reject
verzögerte delayed
konvention convention
mobilisierung mobilization
onkologen oncologist
stufe stage
untergraben undermining
führerschein driver's
unabhängigkeitserklärung declaration
kakerlake cockroach
irdischen earthly
konserviert preserved
nachfolger successor
nebeneinander side-by-side
packte packed
trauern mourn
angegangen addressed
dämmerte dawned
idioten idiots
exportieren exporting
fass barrel
putzen cleaning
entschuldigen excuse
petrochemischen petrochemical
elektrisch electrically
vibrationen vibration
sicherste safest
abstimmung voting
magnetisch magnetically
gelungen succeeded
hoffnung hope
ableiten derive
förderung promoting
dringende pressing
wöchentlichen weekly
geldherrschaft plutocracy
ausbildung educational
gestört disturbed
kleidungsstücke clothing
dorfbewohner villagers
unvergessliche unforgettable
erdähnliche planets
unbedeutend insignificant
strahl beam
zeitgleichheit concurrency
witwe widow
klassifikation classification
zuckerbrot carrots
angelegenheiten affairs
gesündeste healthiest
freisetzen release
geeignet suited
fünfjährige five-year-old
missionen missions
handschriften manuscripts
millionäre millionaires
sauberkeit cleanliness
dreiviertel three-quarters
tüte bag
grundsätzlich inherently
betriebskosten operational
zuschauerraum auditorium
regnerischen rainy
befragte interviewing
pilgerreise pilgrimage
messern knives
rückzug retreat
schreibmaschine typewriter
empfangen receive
sprachwissenschaftler linguists
studienanfänger freshmen
diagnostik diagnostics
druckt prints
briefmarke stamp
unterleib abdomen
beauftragt commissioned
brüste breasts
bluthochdruck hypertension
herz-kreislauf-erkrankungen cardiovascular
jugendlichen juvenile
könig king
ernten harvest
erfüllt fulfilled
indikatoren indicators
alltäglichen day-to-day
ausdrücken expressing
animierten animated
sinnlichkeit sensuality
liebevoll affectionately
hindert prevents
ausdehnt expanding
österreichischen austrian
bekannterweise famously
eindrücke impressions
regenfälle rains
zauberer wizard
handlung plot
fakultät faculty
angesichts given
misstrauisch suspicious
serbische serbian
blutvergießen bloodshed
gläubige believing
utopischen utopian
präsidentschaftswahlen presidential
friedenstruppen peacekeepers
verhandelten negotiated
wasser water
gewann gained
lernen learning
feindliche hostile
rationalität rationality
augenbinde blindfold
verstehen understand
bemerkungen remarks
karrieren careers
routinemäßig routinely
zurückgewiesen rejected
ladens laden's
versuchskaninchen guinea
getäuscht fooled
maß measurement
individualität individuality
taschenlampe flashlight
wehend blowing
benutzeroberflächen interfaces
duschen showers
touristenattraktion tourist
entsalzungsanlagen desalination
abwasser wastewater
kühlschränken refrigerators
dissidenten dissidents
uralten age-old
schwarze black
jacke jacket
handtasche handbag
fließband assembly
vorbereiten preparing
staubigen dusty
bin-ladenismus bin
schulgeld fees
umwandlung conversion
heißesten hottest
lexikon lexicon
friedhof cemetery
zertifiziert certified
haargenau precisely
gemäßigten temperate
grundstudium undergraduate
bienenzucht beekeeping
kaulquappen tadpoles
isländische icelandic
demonstranten protesters
sauerstoffvergiftung toxicity
sehnsucht yearning
trugen carrying
theologie theology
laboratorien laboratories
brasilianer brazilians
langsameren slower
zugeschrieben attributed
zertifikat certificate
vorenthalten withheld
christentum christianity
prozessoren processors
vorfahr ancestor
kontaktiert contacted
augenblicklich instantly
verallgemeinerungen generalizations
konzeptionellen conceptual
verschleierte veiled
unangenehm awkward
verhandlung negotiation
kristallbildung crystallization
keramik ceramics
reinigt cleans
teilmenge subset
zielen aim
kakerlaken cockroaches
anerkennen acknowledge
abstoßende repulsive
mikrowelt micro
weibliche female
schnittstelle brain-machine
zweistündigen two-hour
fotografischen photographic
taktische tactical
raub robbery
psychotherapie psychotherapy
vermittelt mediated
romantische romantic
abkommen treaty
geisteswissenschaften humanities
lieferung delivery
tausendstel thousandth
plastizität plasticity
schlauch hose
wiederhergestellt restored
textilien textiles
linkshänder left-handed
gemeinnützigen non-profit
majestätischen majestic
drohne drone
henrys henry's
aktivismus activism
voreingenommen biased
kubakrise missile
elektroschocktherapie electroshock
krämpfe convulsions
epileptischen epileptic
1940ern 1940s
überzeugung conviction
tourismus tourism
gerechtfertigt justified
orientieren orient
diskutiert discussing
hinduismus hinduism
prostituierten prostitutes
hawaiianischen hawaiian
umhauen blow
krebs cancer
angestellter employee
prophezeiung prophecy
irreführend misleading
alarmierend alarming
logisch logically
entschieden settled
beschäftigung employment
straßenrand roadside
einbahnstraße one-way
wolle wool
kreisverkehr roundabout
gekühlt cooled
symbiotische symbiotic
jordanien jordan
gelb yellow
feuerholz firewood
bewunderte admired
genitalverstümmelung genital
furchtlose fearless
überall everywhere
repräsentanten representatives
vergleiche comparisons
wendung twist
suspendiert suspended
verbundenheit connectedness
bestimmungen regulations
diskutierte argued
mütter mothers
selektiven selective
forscher researchers
herbst autumn
unnötiges unnecessary
zuschauer audiences
drastisch drastically
naturgemäß naturally
drüse nozzle
vorläufige preliminary
3.500 3,500
turingtest turing
verpflichtungen obligations
kreuze crosses
fehlgeschlagene attempts
kürzesten shortest
netzbürger netizens
tonhöhe pitch
begründung rationale
revolutioniert revolutionized
bilder images
widersprüchliche conflicting
vergraben bury
wunderte wondering
unvollendet unfinished
fortschreiten progression
schrumpfen shrink
kätzchen kittens
delegieren delegate
fehlgeburt miscarriage
legastheniker dyslexic
solarbetriebenen solar-powered
hochauflösende high-resolution
darstellen pose
kinetische kinetic
psychopathen psychopaths
absolut absolutely
spielers player's
gewaschen washed
roboter robots
dächern rooftops
kleinem small-scale
wendig maneuverable
berüchtigte infamous
aufgeräumt cleaned
gegenseitigkeit reciprocity
pro-soziale pro-social
meist commonly
siegeln seals
inspirierende inspirational
unzufrieden dissatisfied
sängerin singer
bergauf uphill
pfeiftöne whistles
biologen biologists
breiter wider
feiert celebrates
dummheit stupidity
singt sings
eindeutiger clearer
transparenz transparency
kontakte contacts
nummerierte numbered
schlich snuck
gleichzeitige simultaneous
nicht-lebenden non-living
metabolische metabolic
lebensähnliche lifelike
replikation replication
biofabrikation biofabrication
topografie topography
kabinett cabinet
verflochtenen mesh
bauunternehmer developer
fußball soccer
scherze kidding
unruhen riots
massaker massacre
zerfallen falling
aufblasbare inflatable
ausgezeichnet excellent
überlegenheit mastery
lebenslange lifelong
buße penance
einschätzung assessment
kalifornien california
eifersucht jealousy
gebühr fee
waisenhäusern orphanages
entzündung inflammation
medikalisiert medicalized
frisch newly
versehen accidentally
besuchte visiting
kleidungsstück garment
ernährungsbedingte diet-related
beschuldigt accused
hoben lifted
anatomische anatomical
lehnte leaned
vollgestopft crammed
bewerten grade
ernste severe
exklusiv exclusive
geiseln hostage
beurteilt judged
zivilisatorische civilizational
friedlich peacefully
schamane shaman
gelegenen nearby
fußspuren footsteps
anlagen sanitation
sinniert muses
bosnische bosnian
schwächer weaker
synagoge synagogue
verteilerdose junction
entspannung relaxation
babylonisch babylonian
interferenzmuster interference
brennweite focal
15-jährige 15-year-old
blutgefäß vessel
großväter grandfathers
sonnenbrillen sunglasses
lizensiert licensed
piraten pirates
tschüss bye
entsprechen correspond
zivilisationsstaat civilization-state
ankommen arrive
gemeinsamkeiten commonalities
rüstung armor
schleuderer slingers
merkwürdig strangely
bearbeiten edit
moderne modern
nahtlosen seamless
entwurf draft
verdächtigen suspects
beschwerden complaints
wahllos indiscriminately
macher makers
gleichgültigkeit indifference
fußgänger pedestrians
auslösen initiate
schüler students
gelegt laid
infrastrukturen infrastructures
transatlantischen transatlantic
spektroskopie spectroscopy
zugehörigkeit belonging
gewissheit certainty
eilte rushed
stempeluhr punch
geringsten slightest
frau woman
befriedigend satisfying
inspizierten inspected
erektion erection
selbstorganisierte self-organized
babysitter babysitters
samen-kathedrale seed
unbeschriebenes slate
reguliert regulated
vorliebe predilection
kindisch childish
geräuschkulissen soundscapes
bescheidene humble
lenkrad steering
großartig terrific
arroganz arrogance
kuppeln domes
vermasseln screw
künstlerin artist
atemwegserkrankungen respiratory
aufschrei outcry
schreib-kultur read-write
unzureichend inadequate
homosexueller homosexual
fischerei fisheries
brandung surf
blütenpflanzen flowering
teilnehmer collaborator
snobismus snobbery
geschwommen swum
schnittbild cutaway
differentialgleichung differential
kochbuch cookbook
mittellinie centerline
quanten-arretierung locking
erleuchtetes enlightened
benachteiligte disadvantaged
gesetzgeber legislators
gesprengt blown
spitznamen nickname
anpassungsfähig adaptive
ernsthaftigkeit seriousness
wahrnehmungs perceptual
hüftersatz replacement
geschmacksrichtungen flavors
hinterteil rear
ameisen ants
nahrungssuche foraging
achtjähriger eight-year-old
lächelte smiled
überwacht monitored
hauptmotiv theme
draußen outdoors
drachen kites
umzugestalten remake
feuerwehrmann fireman
autobiographische autobiographical
computerwesen thought-controlled
gigantische gigantic
selbstdisziplin self-discipline
einstündiges one-hour
geld money
delegierens delegation
viertels quartile
gebäude buildings
rezensionen reviews
impfung immunization
nordwestlichen northwestern
läufer runners
schwimmbrille goggles
bekomme sal
auszeit sabbatical
polarisierte polarized
schaffenskraft great
genomische genomic
lachs salmon
steigender increasing
rohstoffbörse commodity
mordraten homicide
magenbrüterfrosch gastric
nahrungssuchenden foragers
sauberer cleaner
verwandtenselektion kin
geschäfte deals
monatsbinden sanitary
regierungsgewalt governance
werkunterricht shop
tagesstätten daycare
mäuse bucks
verliebt madly
dominikanische dominican
allianzen alliances
mikro-maschinen micro-machines
israelischer israeli
schätzenswert caring
ökologen ecologists
raubtiere predators
kalb calf
blüten blooms
gattung genus
terrestrische terrestrial
sonnenaufgang sunrise
wachsende fastest-growing
engagieren engaging
wahnsinnig terribly
blockieren blocking
überdurchschnittliche above-average
gegenstücke counterparts
instinkte instincts
festhalten clinging
übersee overseas
müllhalde dump
ruhe quietly
bedingungsloser unconditional
hydrokultur hydroponics
patentieren patenting
drückt expresses
auffrischung refresher
willkürliche arbitrary
respektvolle respectful
maschinerie machinery
überschneidung overlap
bescheidenheit modesty
gerissen ripped
empfindung sensation
bündeln bundle
zeremonien ceremonies
predigten sermons
orthodoxen orthodox
kathedralen cathedrals
führende foremost
papst pope
sibirischen siberian
dauert lasts
sprengstoff explosives
reichweite grasp
werke out-of-print
vitalität vitality
säuren acids
erdboden soil
abnahme decrease
auswahlindex selectivity
20er 20s
simpel straightforward
injizierte injected
fertigkeit skill
protokolle protocols
lebensunterhalt livelihood
verarmte impoverished
rasenmähen mowing
tröstlich comforting
vernetzung networking
versammlung gathering
urkomisch hilarious
reinheit purity
verwalter stewards
wessen whose
unterstützen supports
einwand objection
weitverbreiteten widespread
kopfhörern headphone
gabel fork
materialität materiality
zusammenpressen crushed
weltraum space
gedehnt stretched
abweichungen deviations
sichtbaren observable
gestärkt empowered
abwesend absent
verwehrt denied
ergänzung supplement
stolperten stumbled
begabten gifted
neffen nephews
geistig sane
sechsecke hexagons
einzellige single-celled
eintrag entry
schleifen loops
reißt rips
halten keep
mathematisches reasoning
auswahl selecting
laufenden ongoing
alphabetisierung literacy
versicherte assured
transaktion transaction
abgeschirmt screened
einträge entries
erfrierungen frostbite
40ern 40s
hausfrauen housewives
entgegen contrary
aufs countryside
krieg war
verständlicherweise understandably
grüneren greener
verfechter advocate
grüßen greet
beharrlichkeit perseverance
hausarbeit housework
humanismus humanism
umfang scope
lebenszeichen vital
abteilungen departments
heben raise
pleite bust
sechstklässler sixth-graders
milchprodukte dairy
tomaten tomatoes
hört stop
platonischen solids
dodekaeder dodecahedron
unklar ambiguous
schildkröten turtles
kugelfisch blowfish
plastik plastic
verschwenderisch wasteful
ältester elder
mythologische mythological
rechnern calculators
unwahrscheinliche improbable
sicher certainly
flüssigkeiten fluids
lausigen lousy
inschriften inscriptions
kehle throat
reißzähne fangs
zögern hesitation
kunstwerke artworks
eintreten entering
mitbegründer co-founder
beginnt start
schlag strike
konzentriere focusing
bürgermeistern mayors
unwahrscheinlichkeit improbability
anzugreifen attacking
ähnliche similar
agnostisch agnostic
dezentralisiert decentralized
charakterisiert characterizes
selbstdarstellung self-expression
liberalisierung liberalization
finanzen finances
starten launching
breit neutralizing
geimpft vaccinated
wirksamkeit efficacy
kolonialismus colonialism
siedlung settlement
dezentralisierung decentralization
praktizierten practiced
klickte clicked
rückspiegel rearview
wedelte waving
aufgeregt upset
investieren invest
vorstand directors
sportliche athletic
benachbarten adjacent
beschwerte complained
energie energy
synaptischen synaptic
schrank closet
verletzen injure
zirkulieren circulate
feuerwehrmänner firemen
enten ducks
lebenswerk life's
gewürze spices
kräutern herbs
großhandel wholesale
öl oil
raumfahrt aerospace
schädigen harming
verdopplung doubling
tafeln blackboards
wendungen twists
gelegentlichen occasional
anhörte sounded
konsistenz consistency
abstoßung repulsion
psychedelischen psychedelic
kritisch critically
angenommen suppose
hasst hates
überfällig overdue
klar sure
psychologisch psychologically
gekämpft struggled
seilwinde winch
süßwasser freshwater
vereinfacht simplified
poesie poetry
erstreckt stretches
feuchtbiotopen wetlands
verschmutzt polluted
beziehen relate
zwillingsschwester twin
benannte renamed
widerstandsarten boosting
gesamtheit totality
empfindliche delicate
gekrümmten curved
nacktschnecken slugs
elektrodermale galvanic
tonfall inflection
flacher flatter
schaltet switches
wählt chooses
fürchtete feared
islamistische islamist
bewohnt occupied
wahlzyklus election
demokrat democrat
ausschnitte snippets
manischen manic
seitwärts sideways
wackeln wobble
histogramm histogram
einfrieren freeze
zeitplan schedule
elliptischen elliptical
milliardäre billionaires
institutionen institutions
unbewaffnete unarmed
tierarzt veterinarian
eingeschläfert euthanized
sojabohnen soybeans
teesorten teas
kompakt compact
zauberwürfel rubik's
unterdrückt suppressed
versklaven enslave
grausamkeiten atrocities
geflohen fled
ermittelnden investigating
forensischen forensic
dämmerung twilight
luftaufnahme aerial
selbstorganisierenden self-organizing
prüften checked
säule plank
erziehung upbringing
überwunden overcame
inspiriert inspired
unvollkommen imperfect
platzieren placing
neurologischen neurologic
nervenkitzel thrill
diskutierten discussed
kompetent competent
beförderung promotion
botschaft message
gärtnern gardening
verteidigt defending
vorkommt occurs
empfohlen recommended
wohltätigkeitsorganisationen charities
geschäftsmann businessman
philanthropische philanthropic
entgegengesetzte opposing
priesterschaft priesthood
betrieb operations
untertasse saucer
polnischer polish
ungleichen disparate
geheißen welcomed
steuerruder rudder
müsste you'd
stifte crayons
klagen lawsuits
aussichten prospects
bürgersteige sidewalks
fußgängerverkehr pedestrian
hydranten hydrant
mülleimer trash
wiederzuentdecken rediscover
unangenehmes unpleasant
überfallen invaded
genehmigungen permits
kran crane
rentner retired
verzweigung branching
vororte suburban
archäologen archaeologists
speichern storing
bevölkerungswachstum population
überholen overtake
verstärker amplifier
gezielten targeted
hausfrau housewife
genehmigt authorized
lokale local
schnäbel beaks
chruschtschow khrushchev
verlängern extending
politische political
quantifizierten quantified
ehepartner spouse
transplantieren transplanting
verblüffende astounding
netzhauterkrankungen retinal
freisetzt releases
anscheinend apparently
gezüchtet bred
basierend based
multidisziplinären multidisciplinary
gegengewicht counterbalance
herumschwingen swing
schmolz melted
abhandlung treatise
physikern physicists
schwingungsmuster vibrational
hellen surround
rotiert rotating
ungewöhnlich uncommon
irgendjemand someone
abschnitte sections
grenzüberschreitende cross-border
zivilisierten civilized
losgelöst disconnected
archäologie archeology
markierung marker
indo-europäischen indo-european
getrockneten dried
transzendiert transcends
fehlerhaft flawed
befreiende liberating
wecken instill
introvertiertes introverted
extrovertiert extrovert
bevorzugt preferred
arbeitsplätze workplaces
introvertiert introvert
alleinsein solitude
gelobt praised
raten guess
großvaters grandfather's
komplexen intricate
breitbandverbindung broadband
ehrlich frankly
qualifizieren qualify
materialismus materialism
randgruppen marginalized
buches book's
rennkuckuck roadrunner
ausflippen freak
entfaltet unfolds
defekt defect
befreien liberate
wiederentdeckung rediscovery
riesen giants
aufregende heady
gipfeln peaks
lebenswert worthwhile
unser we've
getrieben pushed
automatisierten automated
kaffeehaus coffeehouse
notorisch notoriously
hintergründe backgrounds
gemütlichen cozy
bedrohlich threatening
bereitet worries
ungarn hungary
differenziert differentiated
wechselwirkungen interplay
aschenputtel cinderella
unberührt untouched
schuldgefühl guilt
umkreisen orbiting
bewohnbar habitable
mittlerem middle-income
imperialismus imperialism
schotte scotsman
beispiel example
kaum hardly
kriegsführung warfare
abseilfaden dragline
dehnbarkeit extensibility
abseilfäden draglines
produktivsten prolific
erfassen capturing
beschwerde complaint
entsetzt horrified
nachteile downsides
euphemismus euphemism
grundnahrungsmittel staple
narzissmus narcissism
schüsseln bowls
18-monatigen month-old
hinsicht respects
vierjährige year-olds
damm dam
neuheit novelty
kontaminieren contaminate
schwefelsäure sulfuric
robotisch robotically
licht-wellenlängenbereichen wavebands
mazedonien macedon
weiße white
enttäuschungen disappointments
beinhaltete included
eingraviert engraved
virtualität virtuality
zahnstein dental
dünn skinny
bagger backhoe
ungläubigkeit disbelief
dritteln thirds
raumbühne thrust
begleiten accompany
englischsprachigen english-speaking
küssen kissing
räuber robbers
unverheiratet unmarried
albträume nightmares
selbstüberschätzung overconfidence
demütigung humiliation
verantwortlichkeiten responsibilities
britische british
kapitalistischen capitalist
perkussion percussion
enttäuschen disappoint
unterbricht interrupts
herausgeber publisher
religiöse religious
ausgestopften stuffed
ukrainische ukrainian
rändern fringes
kohlenstoffnanoröhren nanotubes
hybridisierung hybridization
individualistischen individualistic
vertrautheit familiarity
valentinstag valentine's
vorspiel foreplay
trommeln drumming
auferstehung resurrection
aufgebläht bloated
betrug fraud
libyschen libyan
unvereinbar incompatible
ausgeglichen balanced
unkraut weeds
arbeiterklasse working-class
vertrieben displaced
unkontrollierter runaway
kreationen creations
umgang interacting
münchen munich
erweiterungen extensions
projektor projector
prüfen checking
berühre touching
erfindern inventors
einwohner inhabitants
urgeschichte prehistory
fingernägel fingernails
pfauenrad peacock's
prähistorischen prehistoric
nicht-visuelle non-visual
vibrierenden vibrating
begleiter companions
vorschlage proposing
beleuchten shine
physiker physicist
kopftuch headscarf
gründerinnen founders
nationalität nationality
serben serbs
angespannt tense
untertitel subtitle
konstitutionellen constitutional
kolonisiert colonized
vorgefertigten ready-made
waffenstillstand cease-fire
irische irish
gleichermaßen alike
blühte flourished
männern men's
schnurrbärte mustaches
bringt bring
bestürzt dismayed
instanzen entities
sammler collector
pfau peacock
gymnosoph gymnosophist
leidenschaft passion
gammastrahlen gamma
zusätzlichen additional
beziehe refer
soziologie sociology
dennoch nevertheless
angreifer attacker
unhöflich rude
fühlenden sentient
interplanetarische interplanetary
einstimmig unanimously
staatlichen state-owned
aufgeschlossen open-minded
schwarzen blacks
andeuten suggesting
überstunden overtime
kauf purchase
dankte thanked
wechselte switched
gezielt target
bestandteile compounds
blinkenden blinking
kamerun cameroon
präferenz preference
ablagerung depositing
mikrostruktur microstructure
wahnsinnigen insane
peinlichkeit embarrassment
geburtsrecht birthright
flugzeugs aircraft
chemikerin chemist
großartige gorgeous
göttlichkeit divinity
entschärfen mitigate
deutschland germany
bankwesen banking
stiefel boots
anpassungen adaptations
enthüllungen revelations
abgeordnete mps
erkläre i'll
entwicklungsstörung developmental
erdlinge earthlings
komprimierter compressed
importiertes imported
philosophisch philosophically
videospiele videogames
einzuladen inviting
epidemiologe epidemiologist
schwächsten weakest
eingestürzt tumbling
wohlhabender prosperous
ausmacht constitutes
naturschützer conservationist
schuppenhalstaube band-tailed
ausrufezeichen exclamation
eingerahmt framed
mütterlicherseits maternal
zwischenmenschliche interpersonal
gemeinschaftlichkeit communality
ethiker ethicist
prämissen premises
balztanz courtship
selbstanordnung self-assembly
snackautomaten vending
spuckt spits
vermutungen guesses
spottdrosseln mockingbirds
landesweite nationwide
leichen cadavers
anfänger beginners
staunen marvel
maschinen machines
verliehen awarded
kosmologische cosmological
unveränderlich unchanging
zertritt squash
abgeschlachtet slaughtered
schema scheme
ausrichtung alignment
durchlaufen undergo
einsatz deployment
behausungen housing
geneigt tilted
verschreibungen prescriptions
selbstmorde suicides
ziegelmauer brick
zuverlässigkeit reliability
standartisiert standardize
rasterelektronenmikroskop scanning
exhumiert exhumed
weckruf wake-up
aufklärungskampagnen campaigns
mitarbeiterin collaborator
semantische semantic
enthüllung unveiling
platonische platonic
flüsterte whispered
autounfall crash
linearität linearity
scheich sheikh
nichtstaatlichen non-governmental
biophysik biophysics
qualifikationen qualifications
zwanzig twenty
impfen vaccinate
büffel buffalo
selbstgefälligkeit complacency
sonderbarer queerer
undurchdringlich impenetrable
mittel-welt middle
wandert moves
rasierte shaved
bereitstellung providing
abendlichen nightly
kultivieren cultivate
technologe technologist
religiöse sectarian
präfrontale pre-frontal
ansässigen resident
feierlichkeiten celebrations
sozioökonomischen socioeconomic
gelächter laughter
besitztümer possessions
demütig humbly
endlichen finite
kausalität causality
kolumbianischen colombian
maurischen moorish
subjektivität subjectivity
aufsammeln picking
nähren nurturing
meldeten volunteered
lebkuchenmann gingerbread
aufwendigen elaborate
wegweisende seminal
erschaffer creators
kameramann cameraman
induzierten induced
wirbeltiere vertebrates
ernüchternd sobering
bediener operator
primzahlen primes
erwartete expecting
selbstzerstörerische self-destructive
zerschmettern shatter
halbe half
plastiktüten bags
problemlösung problem-solving
sehvermögen eyesight
leistungen performances
bestochen bribed
kollateralschäden collateral
dreiteiligen three-piece
freundinnen girlfriends
gewächshäusern greenhouses
wählerisch picky
eingängigen counterintuitive
mikrofluidischen microfluidic
veränderte altered
kreditkarten cards
mitgliedschaft membership
letztes lastly
trügerisch deceptively
gehweg sidewalk
literarischen literary
fließendes flowing
mach don't
mittelmäßigkeit mediocrity
getriebene curiosity-driven
messung measuring
aufgerufen navigated
segelboot sailboat
aufzubauen rebuilding
fruchtwasser amniotic
ziegenhirten herders
schloss lock
demütigend humbling
unterstützende supportive
legenden legends
schätze treasures
schüchternheit shyness
tod death
beschränkungen limits
warnungen warnings
kollabierenden collapsing
defizit deficit
sicherheitsgurt seatbelt
unvorbereitet unprepared
verlinken linking
schaum foam
idealistisch idealistic
geologischen geologic
geschrumpft shrunk
seeleute sailors
unermüdlich tirelessly
einschüchternde daunting
buchhalter accountants
empfang reception
berühmtheiten celebrities
marschierten marched
gesunken declined
gewaltenteilung checks
kollabiert collapses
2020ern 2020s
neigten tended
musiker musician
geländer rail
metaphorisch metaphorically
